"Intrebare pacient","Raspunsuri pacient","Intrebare clinica","Raspuns clinic"
"Ai fost diagnosticat cu: (poți bifa mai multe)","Boală reumatologică | Diabet | Osteoporoză | Afecțiune neurologică | Boală oncologică în trecut | Fara comorbiditati relevante","Comorbiditati","Reumato | Diabet | Osteoporoza | Neuro | Onco | Fara"
"Ai suferit intervenții chirurgicale în zona investigată?","Da | Nu","Chir. anterioara","Da | Nu"
"Nivelul tău de activitate este:","Predominant sedentar | Activ moderat (mers, activitate fizică ușoară) | Activ regulat (sport 2–3 ori / săptămână) | Foarte activ / sport intensiv","Nivel activ.","Sedentar | Activitate moderata | Sport regulat | Foarte activ"
"La locul de muncă:","Stau mai mult pe scaun | Stau mult în picioare | Ridic greutăți frecvent | Activitate mixtă","Act. profesionala","Munca sedentara | Munca in picioare | Ridic greutati | Activitate mixta"
"Fumezi?","Nu | Ocazional | Zilnic","Fumat","Nu | Ocazional | Zilnic"
"Greutatea corporală:","Normoponderal | Ușor supraponderal | Obez | Nu știu / prefer să nu răspund","IMC","Sub 25 | 25-29 | Peste 30 | Necunoscut"
"Ce ți-ai dori cel mai mult să poți face fără durere?","Activități zilnice fără limitare | Revenirea la sport | Revenirea la muncă normal | Reducerea durerii, chiar dacă rămân unele limitări","Obiectiv","Activități zilnice fara durere | Revenire la sport | Revenire la munca | Reducerea durerii"
"","","",""
"--- SOLD ---","","",""
"-- INTREBARI SPECIFICE --","","",""
"Când te doare șoldul cel mai mult?","Mă doare aproape tot timpul, chiar și când nu îl mișc | Mă doare doar când îl folosesc sau îl mișc","Cand doare soldul","Durere constanta | Durere mecanica"
"Te doare șoldul noaptea?","Da, mă trezește din somn | Nu, noaptea nu mă deranjează","Durere nocturna","Da | Nu"
"Ce este mai deranjant pentru tine?","Durerea | Lipsa de forță / mișcare | Ambele în mod similar","Simptom dominant","Durere | Deficit forta / mobilitate | Durere si deficit"
"Ai amorțeli, furnicături sau senzație de curent în zona șoldului sau pe coapsă?","Da | Nu","Simptome neurologice","Da | Nu"
"Simți că articulația șoldului este mai rigidă (senzație că șoldul pentru care ai făcut RMN e mai blocat)?","Da | Nu","Rigiditate sold","Da | Nu"
"Dacă stai confortabil pe un scaun / fotoliu sau la marginea patului, poți duce genunchiul la piept?","Da | Nu | Nu pot, dar nu pentru că doare, ci pentru că mă ține burta","Flexie sold activa","Da | Nu | Nu pot (am burta)"
"Te consideri o persoană „foarte flexibilă"" sau „hipermobilă"" (îndoi ușor degetele, coatele, genunchii)?","Da | Nu | Nu știu","Hipermobilitate","Da | Nu | Nu stiu"
"-- TESTE SPECIFICE --","","",""
"Unde doare cel mai mult? (selectează una sau două variante)","Roșu — Înainte (zona inghinală) | Galben — Lateral (pe os, zona proeminentă) | Verde — Spate (fesier) | Albastru — Jos în spate, la baza coloanei","Zone dureroase sold","Inghinal | Trohanter mare | Sold posterior | Sacro-iliac"
"Ce simți în timpul mișcării? (răspunde doar pentru șoldul cu probleme)","Nu simt durere și pot face mișcarea normal | Simt durere în zona inghinală | Nu simt durere, dar mișcarea este clar limitată comparativ cu celălalt șold | Simt atât durere inghinală, cât și limitare de mișcare","Test rotatie interna","Negativ dureroasa | Pozitiv dureroasa | Limitata mecanic nedureroasa | Limitata mecanic si dureroasa"
"Ce simți în zona inghinală (marcată cu roșu)? (răspunde doar pentru șoldul cu probleme)","Nu simt durere și pot opune rezistență normal | Simt durere în zona inghinală | Nu simt durere, dar forța este clar mai mică decât pe partea cealaltă | Simt atât durere inghinală, cât și slăbiciune","FABER contra rezistentei","Negativ | Dureros inghinal | Negativ, forta scazuta | Pozitiv, forta scazuta"
"Ce simți în timpul testului? (răspunde doar pentru șoldul cu probleme)","Nu simt nimic neobișnuit | Simt durere în față șoldului (inghinal) | Simt durere în spatele șoldului | Simt durere în spatele șoldului și coboară pe coapsă","Piriformis test / FADIR","Piriformis-FADIR negativ | Piriformis-FADIR negativ cu durere inghinala | Piriformis pozitiv | Piriformis intens pozitiv"
"Simți durere sau disconfort în zona inghinală? (răspunde doar pentru șoldul cu probleme)","Da | Nu","Iliopsoas test","Pozitiv | Negativ"
"Ce se întâmplă când stai pe un singur picior?","Da, pot să-mi țin echilibrul fără probleme | Nu pot să-mi țin echilibrul fără să-mi aplec trunchiul (imaginea 2) | Nu pot deloc să-mi țin echilibrul pe un singur picior","Trendelenburg test","Negativ | Pozitiv | Intens pozitiv"
"Ce simți în punctul marcat cu roșu?","Da, mă doare | Nu, nu mă doare","Ober test","Pozitiv | Negativ"
"","","",""
"--- UMAR ---","","",""
"-- INTREBARI SPECIFICE --","","",""
"Când te doare umărul cel mai mult?","Mă doare aproape tot timpul, chiar și când nu îl mișc | Mă doare doar când îl folosesc sau îl mișc","Cand doare umarul","Durere constanta | Durere mecanica"
"Te doare umărul noaptea?","Da, mă trezește din somn | Nu, noaptea nu mă deranjează","Durere nocturna","Da | Nu"
"Ce este mai deranjant pentru tine?","Durerea | Lipsa de forță / mișcare | Ambele în mod similar","Simptom dominant","Durere | Deficit forta / mobilitate | Durere si deficit"
"Ai amorțeli, furnicături sau senzație de curent pe braț sau în mână?","Da | Nu","Simptome neurologice","Da | Nu"
"Simți că brațul este mai slab în general, nu doar dureros?","Da | Nu","Slabiciune brat","Da | Nu"
"Ai frecvent dureri de gât, gât înțepenit sau contractură puternică în zona gâtului / umărului?","Da | Nu","Dureri de gat","Da | Nu"
"Ți-a sărit vreodată umărul din loc și a fost pus la loc într-o cameră de gardă?","Da | Nu","Luxatie anterioara","Da | Nu"
"Ai senzația că umărul „iese"" sau „alunecă"" din loc la mișcări specifice sau chiar și banale?","Da | Nu","Instabilitate umar","Da | Nu"
"Te consideri o persoană „foarte flexibilă"" sau „hipermobilă"" (îndoi ușor degetele, coatele, genunchii)?","Da | Nu | Nu știu","Hipermobilitate","Da | Nu | Nu stiu"
"-- TESTE SPECIFICE --","","",""
"Care culoare descrie cel mai bine până unde poți ridica brațul?","Verde — Pot ridica brațul peste nivelul umărului (peste 90°) | Albastru — Pot ridica brațul aproximativ până la nivelul umărului (~90°) | Galben — Pot ridica brațul doar până la jumătate (~45°) | Roșu — Pot ridica brațul foarte puțin sau deloc","Flexie umar","Flexie peste 90 grade | Flexie aprox 90 grade | Flexie aprox 45 grade | Flexie sever limitata sub 30 grade"
"Care culoare descrie cel mai bine până unde poți ridica brațul în lateral?","Verde — Pot ridica brațul peste nivelul umărului (peste 90°) | Albastru — Pot ridica brațul aproximativ până la nivelul umărului (~90°) | Galben — Pot ridica brațul doar până la jumătate (~45°) | Roșu — Pot ridica brațul foarte puțin sau deloc","Abductie umar","Abductie peste 90 grade | Abductie aprox 90 grade | Abductie aprox 45 grade | Abductie sever limitata pseudoparalizie"
"Care culoare este cea mai apropiată de situația reală?","Verde — Ajung între omoplați | Albastru — Ajung până la talie | Galben — Ajung doar până la zona lombară joasă | Roșu — Ajung foarte jos sau aproape deloc","Rotatie interna umar","Rotatie interna T7 | Rotatie interna L1 | Rotatie interna L4-L5 | Rotatie interna sacru"
"Care culoare aproximează cel mai bine cât de mult poți roti umărul în afară?","Verde — Pot roti brațul mult în afară (aprox. 70–80°) | Galben — Pot roti brațul parțial (aprox. 40–45°) | Roșu — Pot roti brațul foarte puțin sau deloc (aprox. 0°)","Rotatie externa umar","Rotatie externa 80 grade normala | Rotatie externa 30-60 grade limitata | Rotatie externa 0-30 grade sever limitata"
"Ce se întâmplă în umărul cu probleme când faci acest test?","Da, mă doare sau nu pot ține brațul ridicat din cauza durerii / fricii de durere | Nu, nu mă doare și pot ține brațul ridicat fără probleme","Test Jobe","Pozitiv | Negativ"
"Ce se întâmplă când faci această mișcare?","Da, mă doare, mai ales în partea de sus a umărului | Nu, nu mă doare și pot face mișcarea fără probleme","Test OBrian","Pozitiv | Negativ"
"Ce se întâmplă în umărul cu probleme când faci acest test?","Da — Mă doare sau simt că am mai puțină forță comparativ cu umărul sănătos | Nu — Nu mă doare și forța este similară cu umărul sănătos","Belly press test","Pozitiv | Negativ"
"Ce simți în umărul cu probleme când faci această mișcare?","Da, mă doare sau am senzația că umărul vrea să sară în spate | Nu, nu mă doare și nu am senzație de instabilitate","Posterior instability stress test","Pozitiv | Negativ"
"Ce simți în umărul cu probleme când faci acest test?","Da, mă doare sau am senzația că umărul vrea să sară / nu e stabil | Nu, nu mă doare și nu am senzație de instabilitate","Biceps load test","Pozitiv | Negativ"
"","","",""
"--- COT ---","","",""
"-- INTREBARI SPECIFICE --","","",""
"Când te doare cotul cel mai mult?","Mă doare aproape tot timpul, chiar și când nu îl mișc | Mă doare doar când îl folosesc sau îl mișc","Cand doare cotul","Durere constanta | Durere mecanica"
"Te doare cotul noaptea?","Da, mă trezește din somn | Nu, noaptea nu mă deranjează","Durere nocturna","Da | Nu"
"Ce este mai deranjant pentru tine?","Durerea | Lipsa de forță / mișcare | Ambele în mod similar","Simptom dominant","Durere | Deficit forta / mobilitate | Durere si deficit"
"Ai amorțeli, furnicături sau senzație de curent pe braț sau în mână?","Da | Nu","Simptome neurologice","Da | Nu"
"Simți că articulația cotului este mai slabă în general, nu doar dureroasă?","Da | Nu","Slabiciune cot","Da | Nu"
"Ți-a sărit vreodată cotul din loc și a fost pus la loc într-o cameră de gardă?","Da | Nu","Luxatie anterioara","Da | Nu"
"Ai senzația că articulația cotului „iese"" sau „alunecă"" din loc la mișcări specifice sau chiar și banale?","Da | Nu","Instabilitate cot","Da | Nu"
"Te consideri o persoană „foarte flexibilă"" sau „hipermobilă"" (îndoi ușor degetele, coatele, genunchii)?","Da | Nu | Nu știu","Hipermobilitate","Da | Nu | Nu stiu"
"-- TESTE SPECIFICE --","","",""
"Cât de mult poți îndoi cotul? (Poziția 2)","Verde — Pot îndoi cotul maxim | Galben — Pot îndoi cotul, dar nu complet | Roșu — Nu pot îndoi cotul aproape deloc față de poziția de start","Flexie","Maxima | Partiala | Sever limitata"
"Cât de mult poți îndrepta cotul? (Poziția 3)","Verde — Pot îndrepta cotul maxim | Albastru — Pot îndrepta cotul destul de mult, dar nu total | Galben — Pot îndrepta cotul, dar foarte puțin | Roșu — Nu pot îndrepta cotul aproape deloc față de poziția de start","Extensie","Maxima | Buna | Partiala | Sever limitata"
"Cât de mult poți roti palma în jos? (Poziția 2)","Verde — Pot roti palma total în jos | Albastru — Pot roti palma destul de mult, dar nu total | Galben — Pot roti palma, dar foarte puțin | Roșu — Nu pot roti palma aproape deloc față de poziția de start","Pronatie","Maxima | Buna | Partiala | Sever limitata"
"Cât de mult poți roti palma în sus? (Poziția 3)","Verde — Pot roti palma total în sus | Albastru — Pot roti palma destul de mult, dar nu total | Galben — Pot roti palma, dar foarte puțin | Roșu — Nu pot roti palma aproape deloc față de poziția de start","Supinatie","Maxima | Buna | Partiala | Sever limitata"
"Care culoare corespunde zonei care doare cel mai mult?","Verde | Albastru | Galben | Roșu","Harta durere","Anterior | Lateral | Medial | Posterior"
"În timpul acestui test, apare durere și/sau senzație de instabilitate în zona marcată cu bulina galbenă?","Da | Nu","Modified milking maneuver","Pozitiv | Negativ"
"În timpul acestui test, apare durere și/sau senzație de instabilitate la nivelul cotului?","Da | Nu","Instabilitate rotatorie postero-laterala","Pozitiv | Negativ"
"Comparativ cu mișcarea de flexie/extensie făcută din poziție verticală (în picioare sau pe scaun), această mișcare ți se pare:","Mai ușoară / mai stabilă | La fel | Mai dificilă / mai instabilă","ROM elbow gravity assisted","Mai usoara | La fel | Mai dificila"
"În timpul acestui test, apare durere la nivelul părții externe a cotului (zona marcată cu punctul roșu)?","Da | Nu","Test Cozen","Pozitiv | Negativ"
"Simți clar sub deget o structură fermă, ca o coardă, în zona din fața cotului?","Da | Nu","Biceps hook test","Pozitiv | Negativ"
"În timpul acestei manevre, simți furnicături, amorțeală sau senzație de „curent electric"" care poate coborî pe antebraț sau spre degete?","Da | Nu","Test Tinel cot","Pozitiv | Negativ"
"Poziția 2 — apare durere în zona marcată cu punctul roșu (partea internă a cotului / antebrațului)?","Da | Nu","Supinator tunnel test","Pozitiv | Negativ"
"Poziția 3 — apare durere în zona marcată cu punctul roșu (partea externă a cotului / antebrațului)?","Da | Nu","Pronator tunnel test","Pozitiv | Negativ"
"","","",""
"--- GENUNCHI ---","","",""
"-- INTREBARI SPECIFICE --","","",""
"Când te doare genunchiul cel mai mult?","Mă doare aproape tot timpul, chiar și când nu îl mișc | Mă doare doar când îl folosesc sau îl mișc","Cand doare genunchiul","Durere constanta | Durere mecanica"
"Te doare genunchiul noaptea?","Da, mă trezește din somn | Nu, noaptea nu mă deranjează","Durere nocturna","Da | Nu"
"Ce este mai deranjant pentru tine?","Durerea | Lipsa de forță / mișcare | Ambele în mod similar","Simptom dominant","Durere | Deficit forta / mobilitate | Durere si deficit"
"Ai amorțeli, furnicături sau senzație de curent în zona genunchiului sau pe coapsă?","Da | Nu","Simptome neurologice","Da | Nu"
"Simți că articulația genunchiului este mai slabă / instabilă (senzație că fuge genunchiul), nu doar dureroasă?","Da | Nu","Instabilitate genunchi","Da | Nu"
"Te consideri o persoană „foarte flexibilă"" sau „hipermobilă"" (îndoi ușor degetele, coatele, genunchii)?","Da | Nu | Nu știu","Hipermobilitate","Da | Nu | Nu stiu"
"-- TESTE SPECIFICE --","","",""
"Cât de mult poți îndoi genunchiul?","Verde – îndoi genunchiul la maxim | Galben – destul de bine, dar nu la capăt | Roșu – pot îndoi foarte puțin","Flexie genunchi","Maxima | Partiala | Sever limitata"
"Cât de mult poți întinde genunchiul?","Verde – îndrept genunchiul la maxim | Albastru – destul de bine, dar nu total | Galben – îndrept genunchiul foarte puțin | Roșu – nu pot îndrept aproape deloc","Extensie genunchi","Maxima | Buna | Partiala | Sever limitata"
"Unde este durerea cea mai intensă?","Verde - lateral | Galben - anterior | Roșu - medial | Albastru - posterior | Nu există o zonă clară de durere","Harta durere","Lateral | Anterior | Medial | Posterior"
"Unde simți durere sau presiune în genunchi? (alege o singură variantă)","Roșu – în fața genunchiului | Galben – în spatele genunchiului | Nu simt durere sau presiune","Genuflexiune","Anterior | Posterior | Fara durere"
"Apare durere sau auzi pocnituri / troznituri în genunchi?","Da | Nu","Thessaly test","Pozitiv | Negativ"
"Simți un joc, o pocnitură sau senzația că oasele se mișcă unul față de celălalt (punct roșu)?","Da | Nu | Nu sunt sigur","Pseudo-Lachman","ACL intact | ACL lezat | Nesigur"
"Se ridică călcâiul de pe pat când apeși pe coapsă?","Da | Nu","ACL lever test","Pozitiv | Negativ"
"Apare durere sau senzația că genunchiul „fuge"" / cedează în zona marcată cu roșu?","Da | Nu","Valgus test","Pozitiv | Negativ"
"Simți durere sau senzația că genunchiul „îți fuge"" în zona marcată cu punct roșu?","Da | Nu","Varus test in 4","Pozitiv | Negativ"
"Cu genunchii indoiti mai putin (30-45°): piciorul afectat este rotit mai mult spre exterior?","Da | Nu | Nu sunt sigur","Dial Test (30-45)","Pozitiv | Negativ | Incert"
"Cu genunchii indoiti mai mult (90°): piciorul afectat sta diferit fata de celalalt?","Da | Nu | Nu sunt sigur","Dial Test (90)","Pozitiv | Negativ | Incert"
"","","",""
"--- GLEZNA SI PICIOR ---","","",""
"-- INTREBARI SPECIFICE --","","",""
"Când te doare cel mai mult?","Aproape tot timpul, chiar și în repaus | Doar când folosesc piciorul / merg / stau în picioare","Cand doare","Durere constanta | Durere mecanica"
"Te doare noaptea sau te trezește din somn?","Da | Nu","Durere nocturna","Da | Nu"
"Primii pași dimineața sunt dureroși (sub călcâi)?","Da | Nu","Durere matinala calci","Da | Nu"
"Simți că glezna „fuge"", cedează sau nu e sigură când calci?","Da | Nu","Instabilitate glezna","Da | Nu"
"Durerea apare mai ales când mergi desculț sau pe teren denivelat?","Da | Nu","Durere teren denivelat","Da | Nu"
"Ai amorțeli, furnicături sau senzație de curent în talpă sau degete?","Da | Nu","Simptome neurologice","Da | Nu"
"Durerea a apărut după o entorsă sau „călcat strâmb""?","Da | Nu","Antecedent entorsa","Da | Nu"
"-- TESTE SPECIFICE --","","",""
"Alege zona/zonele dureroase din această imagine (max. 2)","Verde | Albastru | Roșu | Portocaliu | Mov | Negru | Nicio zonă din această imagine","Harta durere glezna anterior","Glezna mediala | Glezna anterioara tibio-talar | Glezna laterala | Mediopicior Lisfranc/Chopart/MTTS | Articulatie MTTS-F haluce | Articulatie MTTS-F 2-5 / Metatarsalgii transfer | Fara durere"
"Alege zona/zonele dureroase din această imagine (max. 2)","Albastru (zonă hașurată) | Galben (zonă hașurată) | Roșu (punct roșu) | Verde (punct verde) | Nicio zonă din această imagine","Harta durere glezna posterior","Tendon Ahilean | Calcaneu posterior/Haglund | Glezna laterala | Glezna mediala | Fara durere"
"Alege zona/zonele dureroase din această imagine (max. 2)","Mov (zonă hașurată) | Verde (punct) | Roșu (punct) | Galben (zonă hașurată) | Albastru (zonă hașurată) | Nicio zonă din această imagine","Harta durere glezna mediala","Traiect tibial posterior | Glezna anterioara tibio-talar | Origine fascie plantara | Fascie plantara | Haluce valgus/rigidus/artroza | Fara durere"
"Alege zona/zonele dureroase din această imagine (max. 2)","Roșu (zonă hașurată) | Galben (zonă hașurată) | Verde (punct) | Albastru (punct) | Mov (punct) | Nicio zonă din această imagine","Harta durere glezna laterala","Zona maleola peroniera | Traiect tendoane peronieri | Glezna anterioara tibio-talara | Sinus tarsi/ATFL | Articulatie MTTS-F raza 5 bunionette | Fara durere"
"Simți o durere între degete sau o senzație de „curent"", arsură sau furnicături?","Da | Nu","Morton Squeeze test","Pozitiv | Negativ"
"Simți durere în zona marcată cu punct galben?","Da | Nu","Abduction si External rotation stress test","Pozitiv | Negativ"
"Simți durere în zona marcată cu punct galben?","Da | Nu","Abduction si Internal rotation stress test","Pozitiv | Negativ"
"Poți să te ridici pe vârfuri pe piciorul afectat?","Da, fără probleme (mă ridic ușor, stau stabil, fără durere) | Da, dar apare durere (în spatele gleznei / tendon / talpă / interior) | Da, dar piciorul nu este stabil (simt că „fuge"" stânga-dreapta sau că nu am forță) | Cu dificultate (mă ridic greu sau nu pot menține poziția) | Nu pot să mă ridic pe vârfuri","Test ridicare pe varfuri monopodal","Normal | Dureros | Instabil | Dificil | Imposibil"
"Pasul 1 — Genunchiul întins: Simți că „te ține"" sau o tensiune în zona indicată (deget + punt galben)?","Da | Nu","Silfverskiold intins","Pozitiv | Negativ"
"Pasul 2 — Genunchiul îndoit: Simți că „te ține"" sau o tensiune în talpă (punt galben)?","Da | Nu","Silfverskiold indoit","Pozitiv | Negativ"
"Compararea pozițiilor: În poziția cu genunchiul îndoit, poți trage talpa mai mult în sus decât cu genunchiul întins?","Da | Nu","Silfverskiold comparatie","Pozitiv | Negativ"
"","","",""
"--- PUMN SI MANA ---","","",""
"-- INTREBARI SPECIFICE --","","",""
"Ce te deranjează mai mult?","Durerea | Pierderea funcției (nu mai pot folosi mâna ca înainte) | Ambele la fel","Simptom dominant","Durere | Deficit functional | Mixt"
"Când apare durerea?","Aproape tot timpul, chiar și în repaus | Doar când folosesc mâna | Mă trezește noaptea","Pattern durere","Constanta | Mecanica | Nocturna"
"Simți amorțeli sau furnicături în degete?","Da | Nu","Parestezii degete","Da | Nu"
"Simți că nu mai ai aceeași forță de strângere sau că scapi lucruri din mână?","Nu | Da, mai ales la mișcări fine (scris, nasturi, pix) | Da, mai ales la obiecte mai grele (pahar, sacoșă) | Da, în ambele situații","Deficit forta/precizie","Nu | Deficit miscari fine | Deficit grip | Deficit global"
"Ți se întâmplă ca un deget să se blocheze sau să pocnească atunci când îl îndoi și îl întinzi?","Nu | Da și îl pot debloca trăgând mai tare de el | Da și îl pot debloca doar trăgând de el cu mâna bună","Deget in resort","Nu | Trigger finger grad 1 | Trigger finger grad 2"
"Problema a apărut:","După un traumatism recent | După un traumatism mai vechi | Treptat, după suprasolicitare | Din senin | Cu rigiditate dimineața și umflare la degete | Am un diagnostic reumatologic cunoscut","Debut","Traumatism recent | Traumatism vechi | Suprasolicitare | Spontan | Pattern inflamator | Reumatologic cunoscut"
"Observi vreo modificare vizibilă față de cum era mâna înainte?","Degetul mare pare diferit / deformat | Încheietura pare umflată sau modificată | Articulațiile degetelor sunt îngroșate / nodulare | Mușchii dintre oasele mâinii par mai mici | Nu observ nicio modificare","Modificari vizibile","Deformare police | Tumefactie pumn | Noduli articulari | Atrofie interososi | Fara modificari vizibile"
"-- TESTE SPECIFICE --","","",""
"Alege zona/zonele dureroase (max. 2)","Albastru (zona albastră) | Mov (zona mov) | Galben (zona galbenă) | Portocaliu (zonă portocalie la nivelul unui deget) | Roșu (zonă roșie la nivelul unui deget sau punct roșu) | Verde (punct verde) | Nicio zonă din această imagine","Harta durere mana volar","Police volar | Zona MTC-F volar | Tunel carpian volar | Degete volar | Tubercul scafoid volar | Pisiform volar | Fara durere"
"Alege zona/zonele dureroase (max. 2)","Albastru | Mov | Galben | Roșu | Portocaliu | Nicio zonă din această imagine","Harta durere mana dorsal","Police dorsal | Carp dorsal | Stiloida ulnara | Stiloida radiala | Zona MTC-F dorsal | Fara durere"
"Unde simți amorțelile sau furnicăturile?","Zona roșie | Zona galbenă | În ambele zone | Nu am amorțeli sau furnicături","Harta senzitiva volar","Teritoriu median | Teritoriu ulnar | Median si ulnar | Sensibilitate normala"
"Unde simți amorțelile sau furnicăturile?","Zona albastră | Zona galbenă | În ambele zone | Nu am amorțeli sau furnicături","Harta senzitiva dorsal","Radial superficial | Ulnar | Radial si ulnar | Sensibilitate normala"
"Ce observi la mâna afectată?","Da, toate se îndreaptă spre același punct | Nu, un deget pare rotit diferit față de celelalte | Nu, un deget rămâne în urmă și nu se închide complet | Nu pot închide complet pumnul din cauza rigidității sau durerii","Test tenodeza","Tenodeza normala | Afectare rotatorie | Lag | Rigiditate sau durere"
"La mâna afectată, degetul mic rămâne depărtat de celelalte degete (ca în exemplul marcat)?","Da | Nu","Test Wartenberg","Pozitiv | Negativ"
"În timpul apăsării apar amorțeli, furnicături sau senzație de „curent"" în zona marcată?","Da | Nu","Test Durkin","Pozitiv | Negativ"
"În poziția finală, apare durere în zona marcată cu roșu?","Da | Nu","Test Finkelstein","Pozitiv | Negativ"
"Partea 1 — ce se întâmplă la mâna afectată?","Palma afectată nu se duce pe spate la fel de mult ca cealaltă | Apar amorțeli sau furnicături în mâna afectată | Ambele mâini se mișcă la fel, fără simptome","Reverse Phalen + ROM","Extensie pumn limitata | Pozitiv | Negativ"
"Partea 2 — ce se întâmplă la mâna afectată?","Palma afectată nu se duce în jos la fel de mult ca cealaltă | Apar amorțeli sau furnicături în mâna afectată | Ambele mâini se mișcă la fel, fără simptome","Phalen flexie","Flexie pumn limitata | Pozitiv | Negativ"
"Poziția 1 — apare durere în punctul marcat cu roșu?","Da | Nu","Dart throwing radial","Impingement prezent | Impingement absent"
"Poziția 2 — apare durere în punctul marcat cu roșu?","Da | Nu","Dart throwing ulnar","TFCC dureros | TFCC nedureros"
"","","",""
"--- COLOANA CERVICALA ---","","",""
"-- INTREBARI SPECIFICE --","","",""
"Pe ce parte simți mai mult simptomele?","Dreapta | Stânga | Ambele la fel","Parte afectata","Dreapta | Stanga | Bilateral"
"Ce te deranjează mai mult?","Durerea locală în zona gâtului | Durerea / amorțeala care coboară până în umăr / braț | Durerea / amorțeala care coboară până în mână / degete | Ambele la fel","Simptom dominant","Durere locala | Iradiere umar/brat | Iradiere mana/degete | Mixt"
"Durerea sau furnicăturile se accentuează când miști gâtul?","Da | Nu | Nu am observat","Durere la miscare gat","Da | Nu | Neclar"
"Ai observat că îți scapă obiecte din mână sau că îți este mai greu să faci mișcări fine (nasturi, scris, pix) sau slăbiciune în general pe partea cu simptome?","Da | Nu","Deficit motor fin","Da | Nu"
"Ai observat tulburări de echilibru sau dificultăți de coordonare apărute odată cu problema din zona gâtului?","Da | Nu","Tulburari echilibru","Da | Nu"
"-- TESTE SPECIFICE --","","",""
"Ce simți în timp ce faci mișcarea?","Ating pieptul fără durere | Ating pieptul, dar doare | Nu pot atinge pieptul pentru că mă doare tare | Nu pot atinge pieptul pentru că îmi simt gâtul rigid","Flexie cervicala","Flexie completa fara durere | Flexie completa cu durere | Flexie limitata - durere | Flexie limitata - rigiditate"
"Ce simți în timp ce faci mișcarea?","Pot privi complet, fără durere | Pot privi complet, dar doare | Nu pot privi complet în tavan pentru că mă doare tare | Nu pot privi complet spre tavan pentru că îmi simt gâtul rigid","Extensie cervicala","Extensie completa fara durere | Extensie completa cu durere | Extensie limitata - durere | Extensie limitata - rigiditate"
